source	owner	status	retail_named	named_exact	named_missing	named_mismatch	retail_anonymous	anonymous_covered	retail_typedefs	typedefs_covered	source_extra_named	retail_duplicate_named	source_extra_anonymous	source_extra_typedefs	retail_duplicate_typedefs	source_duplicate_typedefs	detail
recon/frontend/common/feapp.cpp	FEApp.obj	DIFF	171	171	0	0	2	2	468	403	376	3	10	434	237	436	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,MANAGERTASK,PRODUCTLOC,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,forceFocus_t,s_type,stateType_t,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tMenuTextState,tMenuTextType,tPMenuCommandType,tPlayer,tScreenCongratsMessage; retail_duplicate_named=tMenux1,tScreenx1,BO_tNewtonObjx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=FE3d_zUV:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,tTierInfo:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tCompetitor:STRUCTx1,Draw_tCacheHeader:STRUCTx1,tCarLineup:STRUCTx1,tDrawShapeExtended:STRUCTx1,Transformer_zObj:STRUCTx1,tListIteratorCar:STRUCTx1,tMenuItem:STRUCTx11,FE3d_zObj:STRUCTx1,FE3d_zFacet:STRUCTx1,tBlankMenuItemGoToMenuNFS4Button:STRUCTx1,GameSetup_tPerpData:STRUCTx1,tTourneyInfo:STRUCTx2,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx2,DRender_tCalcView:STRUCTx1,tDialogBase:STRUCTx1,Car_tStats:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,tCarInfo:STRUCTx1; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,MANAGERTASK:ENUM,PRODUCTLOC:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,forceFocus_t:ENUM; retail_duplicate_typedefs=237; source_duplicate_typedefs=436
recon/frontend/common/feaudio.cpp	Feaudio.obj	OK	91	91	0	0	2	2	231	164	0	2	0	0	84	21	retail_duplicate_named=BO_tNewtonObjx1,tMenux1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tListIterator:STRUCTx3,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx15,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx15,DRender_tCalcView:STRUCTx1,Cars_tRenderInfo:STRUCTx1,Car_tStats:STRUCTx1; retail_duplicate_typedefs=84; source_duplicate_typedefs=21
recon/frontend/common/fecars.cpp	FECars.obj	OK	69	69	0	0	2	2	331	239	0	1	0	0	215	127	retail_duplicate_named=tMenux1; typedef_count_missing=COORD16:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,tTierInfo:STRUCTx2,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,tCompetitor:STRUCTx2,tListIterator:STRUCTx3,Draw_tCacheHeader:STRUCTx1,tCarLineup:STRUCTx2,tListIteratorCar:STRUCTx3,tMenuItem:STRUCTx15,tTrackInfo:STRUCTx1,GameSetup_tPerpData:STRUCTx1,tAwardInformation:STRUCTx1,tTourneyInfo:STRUCTx3,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx15,DRender_tCalcView:STRUCTx1,GameSetup_tCarData:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,tCarInfo:STRUCTx9,tTournamentManager:STRUCTx15,tCarManager:STRUCTx8,tTournamentDefinition:STRUCTx1; retail_duplicate_typedefs=215; source_duplicate_typedefs=127
recon/frontend/common/fecheats.cpp	FECheats.obj	OK	112	112	0	0	2	2	308	188	0	3	0	0	139	27	retail_duplicate_named=tMenux1,tScreenx1,BO_tNewtonObjx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,tOwnedCarInfo:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,tTierInfo:STRUCTx2,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tCompetitor:STRUCTx2,tListIterator:STRUCTx3,Draw_tCacheHeader:STRUCTx1,shapetbl:STRUCTx1,tCarLineup:STRUCTx2,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx14,tTexture_ShapeInfo:STRUCTx1,tShapeInformation:STRUCTx1,tTrackInfo:STRUCTx1,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1; retail_duplicate_typedefs=139; source_duplicate_typedefs=27
recon/frontend/common/fecredits.cpp	FECredits.obj	OK	105	105	0	0	2	2	282	190	0	3	0	0	121	35	retail_duplicate_named=tMenux1,tScreenx1,BO_tNewtonObjx1; typedef_count_missing=Trk_NewSimQuad:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,tOwnedCarInfo:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,AIScript_tReactionDetails:STRUCTx1,CCOORD16:STRUCTx1,Cars_tCollisionInfo:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tListIterator:STRUCTx3,Draw_tCacheHeader:STRUCTx1,AISpeechInfo_t:STRUCTx1,Cars_tAudio:STRUCTx1,tDrawShapeExtended:STRUCTx1,Car_tControl:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx15,BO_tNewtonCollisionInfo:STRUCTx1,Car_tWheel:STRUCTx1,GameSetup_tPerpData:STRUCTx1,tCreditManager:STRUCTx1,AIScript_t:STRUCTx1,AIPerson_t:STRUCTx1,GameSetup_tControllerData:STRUCTx1,tScreen:STRUCTx1; retail_duplicate_typedefs=121; source_duplicate_typedefs=35
recon/frontend/common/fedialog.cpp	FEDialog.obj	DIFF	171	171	0	0	2	2	473	408	375	4	9	432	242	435	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,PinkSlipsCarSelectState,PinkSlipsErrorCode,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,forceFocus_t,s_type,stateType_t,tAppCommand,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tMenuTextState,tMenuTextType,tPMenuCommandType,tScreenCongratsMessage,tScreen_TransitionType,tSmallSpinningThing; retail_duplicate_named=tMenux1,tScreenx1,BO_tNewtonObjx1,TCBx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,tTierInfo:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tCompetitor:STRUCTx1,Draw_tCacheHeader:STRUCTx1,tCarLineup:STRUCTx1,Transformer_zObj:STRUCTx1,tListIteratorCar:STRUCTx1,tMenuItem:STRUCTx11,tShapeInformation:STRUCTx1,tBlankMenuItemGoToMenuNFS4Button:STRUCTx1,GameSetup_tPerpData:STRUCTx1,tTourneyInfo:STRUCTx2,GameSetup_tControllerData:STRUCTx1,tScreen:STRUCTx2,tMenu:STRUCTx4,DRender_tCalcView:STRUCTx1,tDialogMessageStringWithTimeout:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,tCarInfo:STRUCTx1,tDialogHelp:STRUCTx2,tCredit:STRUCTx1,tTournamentManager:STRUCTx14; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,PinkSlipsCarSelectState:ENUM,PinkSlipsErrorCode:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,forceFocus_t:ENUM,s_type:ENUM,stateType_t:ENUM; retail_duplicate_typedefs=242; source_duplicate_typedefs=435
recon/frontend/common/fefades.cpp	fefades.obj	OK	35	35	0	0	2	2	89	81	0	0	0	0	8	0	typedef_count_missing=COORD16:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Draw_tCacheHeader:STRUCTx1,DRender_tCalcView:STRUCTx1; retail_duplicate_typedefs=8
recon/frontend/common/feinput.cpp	FEInput.obj	OK	55	55	0	0	2	2	154	104	0	1	0	0	52	5	retail_duplicate_named=tMenux1; typedef_count_missing=tOwnedCarInfo:STRUCTx1,COORD16:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,tListIterator:STRUCTx3,Draw_tCacheHeader:STRUCTx1,tMenuItem:STRUCTx15,GameSetup_tPerpData:STRUCTx1,GameSetup_tControllerData:STRUCTx1,tMenu:STRUCTx15,DRender_tCalcView:STRUCTx1,GameSetup_tCarData:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,tCarInfo:STRUCTx2,tCarManager:STRUCTx2; retail_duplicate_typedefs=52; source_duplicate_typedefs=5
recon/frontend/common/felines.cpp	felines.obj	OK	34	34	0	0	2	2	88	80	0	0	0	0	8	0	typedef_count_missing=COORD16:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Draw_tCacheHeader:STRUCTx1,DRender_tCalcView:STRUCTx1; retail_duplicate_typedefs=8
recon/frontend/common/fememcard.cpp	FEMemCard.obj	DIFF	131	131	0	0	2	2	367	299	415	4	9	466	170	409	named_extra=AICop_RoadBlockState,AIDataRecord_RecordMethod_t,AIDataRecord_WhichRecord_t,AIHigh_CopGameType_t,AIHigh_tAttackMode,AIHigh_tDriveAwayMode,Gear_t,PinkSlipsCarSelectState,VALIDITY,VIDEOSTATE,Weather_tState,Wingman_Role,blockadeMode_t,copType,crimeType,cruiseMode_t,eRampType,forceFocus_t,s_type,stateType_t,tAppCommand,tCarListType,tCarStatType,tCheatCode,tFront_ProcessingType,tMenuTextState,tMenuTextType,tPMenuCommandType,tPlayer,tScreenCongratsMessage,tScreenMainState,tScreen_TransitionType; retail_duplicate_named=tMenux1,tScreenx1,BO_tNewtonObjx1,TCBx1; anonymous_extra=ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,ENTAG:4x1,STRTAG:8x1,STRTAG:216x1,STRTAG:512x1; typedef_count_missing=FE3d_zUV:STRUCTx1,Transformer_zUV:STRUCTx1,Transformer_zOverlay:STRUCTx1,COORD16:STRUCTx1,Trk_Quad:STRUCTx1,Draw_CarVertex:STRUCTx1,PCOORD16:STRUCTx1,Draw_PrimStruct:STRUCTx1,Transformer_zFacet:STRUCTx1,tTierInfo:STRUCTx1,Draw_SVertex:STRUCTx1,Draw_tPixMap:STRUCTx1,Sched_tFunctionSchedule:STRUCTx1,tCompetitor:STRUCTx1,Draw_tCacheHeader:STRUCTx1,tCarLineup:STRUCTx1,Transformer_zObj:STRUCTx1,tMenuItem:STRUCTx11,FE3d_zObj:STRUCTx1,tShapeInformation:STRUCTx1,FE3d_zFacet:STRUCTx1,GameSetup_tPerpData:STRUCTx1,tTourneyInfo:STRUCTx2,GameSetup_tControllerData:STRUCTx1,tScreen:STRUCTx2,tMenu:STRUCTx5,DRender_tCalcView:STRUCTx1,tDialogMessageStringWithTimeout:STRUCTx1,Car_tStats:STRUCTx1,tDialogInteractive:STRUCTx1,GameSetup_tUserSetting:STRUCTx1,tCarInfo:STRUCTx1; typedefs_extra=tMemIcon:ARY ARY ARY CHAR,CarLogic_tObservations:ARY ARY INT,FEMATRIX:ARY ARY INT,Night_tCopLightingTable:ARY ARY UCHAR,Night_tLightingTable:ARY ARY UCHAR,FEVECTOR:ARY INT,tPItemList:ARY PTR STRUCT,tTextLocation:ARY SHORT,tArrowLocation:ARY SHORT,Night_tWeatherLightingTable:ARY UCHAR,DECDCTTAB:ARY USHORT,AICop_RoadBlockState:ENUM,AIDataRecord_RecordMethod_t:ENUM,AIDataRecord_WhichRecord_t:ENUM,AIHigh_CopGameType_t:ENUM,AIHigh_tAttackMode:ENUM,AIHigh_tDriveAwayMode:ENUM,Gear_t:ENUM,PinkSlipsCarSelectState:ENUM,VALIDITY:ENUM,VIDEOSTATE:ENUM,Weather_tState:ENUM,Wingman_Role:ENUM,blockadeMode_t:ENUM,copType:ENUM,crimeType:ENUM,cruiseMode_t:ENUM,eRampType:ENUM,forceFocus_t:ENUM,s_type:ENUM,stateType_t:ENUM,tAppCommand:ENUM; retail_duplicate_typedefs=170; source_duplicate_typedefs=409
